index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
49,Bahrain,9366,195,14,-1,4938,4414,9,5526,8,286223,168883,1694805,Asia
50,Czechia,9034,32,317,-1,6263,2454,24,844,30,403358,37672,10707069,Europe
51,Kazakhstan,8969,438,35,-1,4560,4374,31,478,2,687249,36646,18753881,Asia
52,Algeria,8697,194,617,8,4918,3162,27,199,14,-1,-1,43767938,Africa
53,Norway,8374,10,235,-1,7727,412,14,1546,43,234637,43315,5417027,Europe
54,Oman,8118,348,37,-1,2067,6014,31,1594,7,72000,14139,5092460,Asia
55,Nigeria,8068,-1,233,-1,2311,5524,7,39,1,44458,216,205584173,Africa
56,Malaysia,7604,187,115,-1,6041,1448,8,235,4,519944,16086,32323664,Asia
57,Morocco,7556,24,202,2,4841,2513,1,205,5,155579,4220,36866123,Africa
58,Armenia,7402,289,91,4,3220,4091,10,2498,31,52554,17738,2962710,Asia
59,Moldova,7305,158,267,6,3884,3154,256,1810,66,40565,10054,4034845,Europe
60,Australia,7133,15,102,-1,6553,478,5,280,4,1288223,50578,25469872,Australia/Oceania
61,Ghana,6964,156,32,-1,2097,4835,16,225,1,197194,6360,31003853,Africa
62,Bolivia,6660,397,261,11,647,5752,3,571,22,22294,1913,11656694,South America
63,Finland,6628,29,312,4,5100,1216,11,1196,56,171575,30971,5539893,Europe
64,Cameroon,5044,154,171,6,1917,2956,28,191,6,-1,-1,26473989,Africa
65,Iraq,4848,216,169,6,2852,1827,34,121,4,199367,4969,40125564,Asia
66,Azerbaijan,4403,132,52,1,2819,1532,42,435,5,273411,26990,10130034,Asia
67,Honduras,4189,239,182,2,473,3534,13,424,18,14790,1496,9888260,North America
68,Luxembourg,3995,2,110,-1,3783,102,5,6393,176,68829,110141,624919,Europe
69,Sudan,3976,156,170,5,503,3303,-1,91,4,401,9,43738792,Africa
70,Hungary,3771,15,499,8,1836,1436,27,390,52,166263,17207,9662656,Europe
71,Guatemala,3760,336,59,1,274,3427,5,210,3,31427,1758,17880705,North America
72,Uzbekistan,3281,92,13,-1,2636,632,3,98,0.4,460000,13765,33419241,Asia
73,Guinea,3275,-1,20,-1,1673,1582,24,250,2,14407,1100,13093597,Africa
74,Tajikistan,3266,166,47,1,1417,1802,-1,343,5,-1,-1,9514637,Asia
75,Senegal,3161,31,36,1,1565,1560,18,189,2,35016,2097,16695568,Africa
76,Thailand,3045,3,57,-1,2929,59,57,44,0.8,375453,5380,69783058,Asia
77,Greece,2892,10,173,1,1374,1345,18,277,17,160991,15439,10427777,Europe
78,Djibouti,2468,-1,14,-1,1079,1375,-1,2502,14,23140,23456,986520,Africa
79,Bulgaria,2443,10,130,-1,880,1433,20,351,19,74834,10762,6953227,Europe
80,Ivory Coast,2423,-1,30,-1,1257,1136,-1,92,1,24317,924,26307273,Africa
81,Bosnia and Herzegovina,2416,10,149,3,1721,546,4,736,45,60528,18438,3282698,Europe
82,DRC,2403,106,68,1,340,1995,-1,27,0.8,-1,-1,89256655,Africa
83,Croatia,2244,-1,101,1,2046,97,5,546,25,63682,15503,4107599,Europe
84,Gabon,2135,-1,14,-1,562,1559,10,962,6,9908,4463,2220060,Africa
85,El Salvador,2042,59,36,1,787,1219,25,315,6,77482,11952,6483000,North America
86,North Macedonia,2014,15,116,3,1453,445,21,967,56,25841,12403,2083382,Europe
87,Cuba,1963,16,82,-1,1709,172,4,173,7,97003,8564,11327273,North America
88,Estonia,1834,10,65,-1,1552,217,1,1383,49,78085,58868,1326450,Europe
89,Iceland,1804,-1,10,-1,1792,2,-1,5290,29,59087,173263,341024,Europe
90,Somalia,1711,22,67,1,253,1391,2,108,4,-1,-1,15844234,Africa
91,Lithuania,1639,4,65,2,1165,409,17,601,24,275058,100915,2725640,Europe
92,Mayotte,1634,25,20,-1,894,720,11,6005,74,5200,19110,272102,Africa
93,Slovakia,1513,2,28,-1,1322,163,1,277,5,160523,29403,5459389,Europe
94,New Zealand,1504,-1,21,-1,1461,22,1,312,4,263156,54616,4818333,Australia/Oceania
95,Slovenia,1469,-1,108,1,1346,15,2,707,52,77138,37105,2078911,Europe
96,Kyrgyzstan,1468,35,16,-1,1015,437,5,225,2,100488,15429,6512990,Asia
97,Maldives,1395,-1,4,-1,155,1236,9,2586,7,11775,21824,539547,Asia
98,Kenya,1348,62,52,-1,405,891,1,25,1.0,64264,1198,53644375,Africa
99,Sri Lanka,1317,135,10,-1,712,595,1,62,0.5,56181,2625,21404496,Asia
100,Guinea-Bissau,1178,-1,7,-1,42,1129,-1,600,4,1500,764,1962975,Africa
101,Venezuela,1177,-1,10,-1,302,865,2,41,0.4,832526,29269,28443500,South America
102,Lebanon,1140,21,26,-1,689,425,3,167,4,75813,11103,6828287,Asia
103,Mali,1077,18,70,3,617,390,-1,53,3,3483,173,20186088,Africa
104,Hong Kong,1066,-1,4,-1,1033,29,1,142,0.5,202930,27090,7490925,Asia
105,Haiti,1063,105,31,4,22,1010,-1,93,3,3328,292,11388384,North America
106,Latvia,1053,4,22,-1,741,290,2,558,12,101598,53811,1888068,Europe
107,Tunisia,1051,-1,48,-1,919,84,3,89,4,48476,4106,11806151,Africa
108,Equatorial Guinea,1043,-1,12,-1,165,866,-1,746,9,854,611,1397760,Africa
109,Albania,1029,25,33,1,803,193,3,358,11,13506,4693,2878095,Europe
110,Niger,951,-1,62,-1,786,103,-1,39,3,5989,248,24105596,Africa
111,Costa Rica,951,-1,10,-1,628,313,2,187,2,23580,4633,5089461,North America
112,Cyprus,939,2,17,-1,594,328,10,778,14,103814,86046,1206488,Asia
113,Zambia,920,-1,7,-1,336,577,1,50,0.4,20011,1092,18327041,Africa
114,Paraguay,877,12,11,-1,382,484,-1,123,2,25216,3540,7123619,South America
115,Burkina Faso,832,-1,52,-1,672,108,-1,40,2,-1,-1,20840103,Africa
116,South Sudan,806,-1,8,-1,6,792,-1,72,0.7,3356,300,11180404,Africa
117,Uruguay,787,-1,22,-1,629,136,5,227,6,38695,11143,3472561,South America
118,Nepal,772,90,4,-1,155,613,-1,27,0.1,152391,5240,29081827,Asia
119,Andorra,763,-1,51,-1,663,49,3,9877,660,3750,48542,77253,Europe
120,Sierra Leone,754,19,44,2,297,413,-1,95,6,-1,-1,7959753,Africa
121,Georgia,732,1,12,-1,537,183,6,183,3,50208,12584,3989889,Asia
122,Jordan,718,7,9,-1,586,123,5,70,0.9,167892,16471,10192951,Asia
123,Diamond Princess,712,-1,13,-1,651,48,4,-1,-1,-1,-1,0,
124,Ethiopia,701,46,6,1,167,528,-1,6,0.05,87264,761,114654045,Africa
125,Chad,700,13,62,1,303,335,-1,43,4,-1,-1,16373575,Africa
126,CAR,671,19,1,-1,22,648,-1,139,0.2,11570,2400,4820985,Africa
127,San Marino,666,-1,42,-1,275,349,-1,19632,1238,4079,120239,33924,Europe
128,Malta,611,-1,6,-1,485,120,1,1384,14,63087,142915,441429,Europe
129,Madagascar,586,44,2,-1,147,437,6,21,0.07,9340,338,27613258,Africa
130,Channel Islands,559,-1,45,-1,517,-3,-1,3218,259,10255,59038,173702,Europe
131,Jamaica,556,4,9,-1,238,309,1,188,3,10570,3571,2959906,North America
132,Tanzania,509,-1,21,-1,183,305,7,9,0.4,-1,-1,59545671,Africa
133,Congo,487,-1,16,-1,147,324,-1,88,3,-1,-1,5503335,Africa
134,Réunion,459,3,1,-1,411,47,1,513,1,17200,19225,894679,Africa
135,Taiwan,441,-1,7,-1,416,18,-1,19,0.3,71101,2986,23812627,Asia
136,Palestine,426,3,3,-1,365,58,-1,84,0.6,44876,8819,5088625,Asia
137,Cabo Verde,390,-1,4,1,155,231,-1,702,7,1307,2353,555377,Africa
138,Togo,386,-1,13,-1,161,212,-1,47,2,17049,2065,8257779,Africa
139,French Guiana,353,-1,1,-1,146,206,-1,1185,3,-1,-1,297835,South America
140,Isle of Man,336,-1,24,-1,306,6,2,3953,282,4624,54407,84989,Europe
141,Rwanda,336,-1,-1,-1,238,98,-1,26,-1,59369,4596,12917314,Africa
142,Mauritius,334,-1,10,-1,322,2,-1,263,8,104639,82292,1271565,Africa
143,Vietnam,327,1,-1,-1,272,55,2,3,-1,275000,2828,97250965,Asia
144,Montenegro,324,-1,9,-1,315,0,-1,516,14,10167,16188,628058,Europe
145,Sao Tome and Principe,299,-1,11,-1,4,284,-1,1367,50,175,800,218731,Africa
146,Nicaragua,279,-1,17,-1,199,63,-1,42,3,-1,-1,6616547,North America
147,Liberia,266,1,26,-1,144,96,-1,53,5,-1,-1,5044844,Africa
148,Mauritania,262,-1,9,-1,15,238,-1,57,2,2583,557,4636268,Africa
149,Eswatini,261,5,2,-1,164,95,-1,225,2,4994,4309,1158954,Africa
150,Yemen,233,-1,44,-1,10,179,-1,8,1,120,4,29755574,Asia
151,Uganda,222,-1,-1,-1,69,153,-1,5,-1,86714,1903,45578341,Africa
152,Mozambique,213,4,1,-1,71,141,-1,7,0.03,9036,290,31158631,Africa
153,Benin,208,17,3,-1,118,87,-1,17,0.2,28179,2331,12088427,Africa
154,Myanmar,206,3,6,-1,124,76,-1,4,0.1,20322,374,54373757,Asia
155,Martinique,197,-1,14,-1,91,92,-1,525,37,-1,-1,375293,North America
156,Faeroe Islands,187,-1,-1,-1,187,0,-1,3828,-1,9178,187901,48845,Europe
157,Guadeloupe,161,-1,14,-1,115,32,3,402,35,3573,8930,400117,North America
158,Gibraltar,154,-1,-1,-1,147,7,-1,4571,-1,6621,196515,33692,Europe
159,Brunei,141,-1,1,-1,137,3,2,323,2,18589,42532,437059,Asia
160,Mongolia,141,-1,-1,-1,37,104,25,43,-1,12460,3807,3272806,Asia
161,Guyana,137,-1,11,-1,62,64,2,174,14,1489,1894,786181,South America
162,Cayman Islands,134,-1,1,-1,61,72,-1,2041,15,9401,143212,65644,North America
163,Bermuda,133,-1,9,-1,89,35,2,2135,144,6603,105989,62299,North America
164,Cambodia,124,-1,-1,-1,122,2,1,7,-1,18392,1102,16695214,Asia
165,Syria,121,15,4,-1,41,76,-1,7,0.2,-1,-1,17454561,Asia
166,Trinidad and Tobago,116,-1,8,-1,108,0,-1,83,6,2933,2096,1399048,North America
167,Malawi,101,-1,4,-1,37,60,1,5,0.2,2411,126,19075919,Africa
168,Aruba,101,-1,3,-1,95,3,3,946,28,2073,19424,106722,North America
169,Bahamas,100,-1,11,-1,46,43,1,255,28,1972,5020,392867,North America
170,Monaco,98,-1,4,-1,90,4,2,2499,102,-1,-1,39214,Europe
171,Barbados,92,-1,7,-1,71,14,1,320,24,4788,16663,287341,North America
172,Comoros,87,-1,1,-1,21,65,-1,100,1,-1,-1,867624,Africa
173,Liechtenstein,82,-1,1,-1,55,26,-1,2151,26,900,23612,38117,Europe
174,Sint Maarten,77,-1,15,-1,59,3,1,1798,350,438,10227,42827,North America
175,Libya,75,-1,3,-1,40,32,-1,11,0.4,5154,751,6861713,Africa
176,Angola,70,-1,4,-1,18,48,-1,2,0.1,10000,305,32751429,Africa
177,French Polynesia,60,-1,-1,-1,60,0,-1,214,-1,3964,14119,280748,Australia/Oceania
178,Zimbabwe,56,-1,4,-1,25,27,-1,4,0.3,37039,2496,14840631,Africa
179,Macao,45,-1,-1,-1,45,0,-1,69,-1,-1,-1,648427,Asia
180,Burundi,42,-1,1,-1,20,21,-1,4,0.08,284,24,11851274,Africa
181,Saint Martin,40,-1,3,-1,33,4,1,1036,78,553,14328,38597,North America
182,Eritrea,39,-1,-1,-1,39,0,-1,11,-1,-1,-1,3541383,Africa
183,Botswana,35,-1,1,-1,20,14,-1,15,0.4,17631,7513,2346588,Africa
184,Bhutan,27,-1,-1,-1,6,21,-1,35,-1,15607,20249,770749,Asia
185,Antigua and Barbuda,25,-1,3,-1,19,3,1,255,31,183,1870,97848,North America
186,Gambia,25,-1,1,-1,17,7,-1,10,0.4,1476,613,2409159,Africa
187,Timor-Leste,24,-1,-1,-1,24,0,-1,18,-1,738,561,1315796,Asia
188,Grenada,23,-1,-1,-1,18,5,4,204,-1,3007,26736,112472,North America
189,Namibia,21,-1,-1,-1,14,7,-1,8,-1,3186,1256,2536074,Africa
190,Laos,19,-1,-1,-1,14,5,-1,3,-1,5855,806,7264685,Asia
191,Belize,18,-1,2,-1,16,0,-1,45,5,1485,3742,396870,North America
192,Curaçao,18,-1,1,-1,14,3,-1,110,6,572,3487,164028,North America
193,Fiji,18,-1,-1,-1,15,3,-1,20,-1,1300,1451,895801,Australia/Oceania
194,New Caledonia,18,-1,-1,-1,18,0,-1,63,-1,5454,19122,285223,Australia/Oceania
195,Saint Lucia,18,-1,-1,-1,18,0,-1,98,-1,898,4893,183545,North America
196,St. Vincent Grenadines,18,-1,-1,-1,14,4,-1,162,-1,216,1948,110906,North America
197,Dominica,16,-1,-1,-1,16,0,-1,222,-1,433,6016,71969,North America
198,Saint Kitts and Nevis,15,-1,-1,-1,15,0,-1,282,-1,394,7411,53162,North America
199,Falkland Islands,13,-1,-1,-1,13,0,-1,3747,-1,445,128279,3469,South America
200,Turks and Caicos,12,-1,1,-1,10,1,-1,310,26,126,3259,38663,North America
201,Greenland,12,-1,-1,-1,11,1,-1,211,-1,1938,34143,56761,North America
202,Vatican City,12,-1,-1,-1,2,10,-1,14981,-1,-1,-1,801,Europe
203,Montserrat,11,-1,1,-1,10,0,-1,2204,200,36,7212,4992,North America
204,Suriname,11,-1,1,-1,9,1,-1,19,2,488,833,586106,South America
205,Seychelles,11,-1,-1,-1,11,0,-1,112,-1,-1,-1,98287,Africa
206,MS Zaandam,9,-1,2,-1,-1,7,-1,-1,-1,-1,-1,0,
207,Western Sahara,9,-1,1,1,6,2,-1,15,2,-1,-1,595744,Africa
208,British Virgin Islands,8,-1,1,-1,6,1,-1,265,33,167,5528,30211,North America
209,Papua New Guinea,8,-1,-1,-1,8,0,-1,0.9,-1,2402,269,8929153,Australia/Oceania
210,Caribbean Netherlands,6,-1,-1,-1,6,0,-1,229,-1,424,16184,26199,North America
211,St. Barth,6,-1,-1,-1,6,0,-1,608,-1,137,13875,9874,North America
212,Anguilla,3,-1,-1,-1,3,0,-1,200,-1,30,2001,14990,North America
213,Lesotho,2,-1,-1,-1,-1,2,-1,0.9,-1,283,132,2140560,Africa
214,Saint Pierre Miquelon,1,-1,-1,-1,1,0,-1,173,-1,-1,-1,5797,North America
215,China,82992,7,4634,-1,78277,81,7,58,3,-1,-1,1439323776,Asia
