Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1355967,8658,80393,356,240616,1034958,16494,4097,243,9191357,27768,North America
Spain,264663,1880,26621,143,176439,61603,1650,5661,569,2467761,52781,Europe
UK,219183,3923,31855,268,-1,186984,1559,3229,469,1821280,26829,Europe
Italy,219070,802,30560,165,105186,83324,1027,3623,505,2565912,42439,Europe
Russia,209688,11012,1915,88,34306,173467,2300,1437,13,5448463,37335,Europe
France,176658,-1,26380,70,56217,94061,2812,2706,404,1384633,21213,Europe
Germany,171767,443,7557,8,144400,19810,1581,2050,90,2755770,32891,Europe
Brazil,156862,801,10739,83,61685,84438,8318,738,51,339552,1597,South America
Turkey,138657,1542,3786,47,92691,42180,1154,1644,45,1370598,16251,Asia
Iran,107603,1383,6640,51,86143,14820,2675,1281,79,586699,6985,Asia
Canada,68738,1036,4870,177,31902,31966,502,1821,129,1135984,30099,North America
India,67161,4353,2212,111,20969,43980,-1,49,2,1609037,1166,Asia
Peru,65015,-1,1814,-1,20246,42955,748,1972,55,494250,14990,South America
Belgium,53081,485,8656,75,13642,30783,476,4580,747,566101,48846,Europe
Netherlands,42627,245,5440,18,-1,36937,507,2488,317,254573,14857,Europe
Saudi Arabia,39048,1912,246,7,11457,27345,140,1122,7,449644,12916,Asia
Mexico,33460,1938,3353,193,21824,8283,378,260,26,128148,994,North America
Pakistan,30334,1598,659,23,8063,21612,111,137,3,283517,1284,Asia
Switzerland,30305,54,1830,-1,26400,2075,101,3502,211,309595,35772,Europe
Ecuador,29559,488,2127,410,3433,23999,181,1675,121,84287,4777,South America
Chile,28866,1647,312,8,13112,15442,544,1510,16,267904,14015,South America
Portugal,27581,175,1135,9,2549,23897,112,2705,111,517660,50767,Europe
Sweden,26322,401,3225,5,4971,18126,360,2606,319,148500,14704,Europe
Singapore,23336,876,20,-1,2721,20595,23,3989,3,175604,30016,Asia
Ireland,22996,236,1458,12,17110,4428,72,4657,295,214761,43493,Europe
Belarus,22973,921,131,5,6406,16436,92,2431,14,263543,27890,Europe
Qatar,22520,1189,14,1,2753,19753,72,7817,5,127769,44348,Asia
UAE,18198,781,198,13,4804,13196,1,1840,20,1200000,121330,Asia
Israel,16477,23,252,5,11430,4795,74,1904,29,455267,52598,Asia
Poland,15996,345,800,15,5698,9498,160,423,21,476904,12601,Europe
Austria,15871,38,618,3,13991,1262,72,1762,69,316508,35143,Europe
Japan,15663,-1,607,-1,5906,9150,287,124,5,211997,1676,Asia
Romania,15362,231,961,22,7051,7350,242,799,50,256749,13346,Europe
Ukraine,15232,522,391,15,3060,11781,201,348,9,176403,4034,Europe
Bangladesh,14657,887,228,14,2650,11779,1,89,1,122657,745,Asia
Indonesia,14032,387,973,14,2698,10361,-1,51,4,158273,579,Asia
S. Korea,10874,34,256,-1,9610,1008,55,212,5,663886,12949,Asia
Philippines,10794,184,719,15,1924,8151,31,99,7,163177,1489,Asia
Colombia,10495,-1,445,-1,2569,7481,130,206,9,144912,2848,South America
Denmark,10429,110,529,3,8217,1683,40,1801,91,317834,54873,Europe
Dominican Republic,10347,465,388,3,2763,7196,134,954,36,40591,3742,North America
Serbia,10114,82,215,2,3006,6893,43,1158,25,140592,16091,Europe
South Africa,10015,595,194,8,4173,5648,77,169,3,341336,5755,Africa
Egypt,9400,436,525,11,2075,6800,41,92,5,90000,879,Africa
Kuwait,8688,1065,58,9,2729,5901,114,2034,14,196397,45988,Asia
Panama,8282,212,237,6,4501,3544,85,1919,55,40356,9353,North America
Czechia,8106,11,279,3,4466,3361,40,757,26,302493,28247,Europe
Norway,8102,3,219,-1,32,7851,22,1494,40,195921,36140,Europe
Australia,6941,12,97,-1,6163,681,17,272,4,827872,32466,Australia/Oceania
Malaysia,6656,67,108,-1,5025,1523,18,206,3,256937,7938,Asia
Morocco,6063,153,188,2,2554,3321,1,164,5,65924,1786,Africa
Finland,5962,82,267,2,4000,1695,45,1076,48,121500,21929,Europe
Argentina,5776,-1,300,-1,1757,3719,148,128,7,83018,1837,South America
Algeria,5723,165,502,8,2678,2543,22,131,11,6500,148,Africa
Kazakhstan,5076,101,31,-1,1901,3144,31,270,2,398411,21218,Asia
Moldova,4927,60,169,8,1958,2800,237,1221,42,20447,5069,Europe
Bahrain,4856,82,8,-1,2065,2783,2,2854,5,182906,107492,Asia
Afghanistan,4402,369,120,5,558,3724,7,113,3,15560,400,Asia
Ghana,4263,-1,22,-1,378,3863,5,137,0.7,155201,4995,Africa
Nigeria,4151,-1,128,-1,745,3278,4,20,0.6,23835,116,Africa
Luxembourg,3886,9,101,-1,3586,199,14,6208,161,55250,88262,Europe
Oman,3399,175,17,-1,1117,2265,17,666,3,50000,9791,Asia
Armenia,3313,138,45,1,1325,1943,10,1118,15,31590,10661,Asia
Hungary,3263,50,413,8,933,1917,50,338,43,108257,11206,Europe
Thailand,3009,5,56,-1,2794,159,61,43,0.8,227860,3264,Asia
Iraq,2767,88,109,2,1734,924,-1,69,3,127153,3161,Asia
Greece,2716,6,151,-1,1374,1191,30,261,14,98897,9488,Europe
Cameroon,2579,305,114,6,1465,1000,28,97,4,-1,-1,Africa
Azerbaijan,2519,97,32,1,1650,837,33,248,3,193411,19076,Asia
Bolivia,2437,171,114,8,258,2065,3,209,10,7651,655,South America
Uzbekistan,2418,69,10,-1,1881,527,8,72,0.3,325000,9710,Asia
Croatia,2187,11,90,3,1764,333,13,533,22,44886,10934,Europe
Bosnia and Herzegovina,2117,27,107,5,1106,904,4,645,33,41282,12583,Europe
Guinea,2042,-1,11,-1,698,1333,-1,155,0.8,-1,-1,Africa
Bulgaria,1965,44,91,1,444,1430,58,283,13,57231,8237,Europe
Honduras,1830,59,108,1,195,1527,10,185,11,5653,571,North America
Iceland,1801,-1,10,-1,1773,18,-1,5278,29,54195,158816,Europe
Cuba,1754,-1,74,-1,1140,540,8,155,7,63560,5612,North America
Estonia,1739,6,60,-1,750,929,5,1311,45,63372,47773,Europe
Senegal,1709,75,18,1,650,1041,6,102,1,18969,1133,Africa
Ivory Coast,1667,-1,21,-1,769,877,-1,63,0.8,12312,467,Africa
North Macedonia,1642,20,91,-1,1136,415,21,788,44,18821,9034,Europe
New Zealand,1494,2,21,-1,1371,102,2,310,4,190326,39468,Australia/Oceania
Lithuania,1479,35,50,1,828,601,17,543,18,183913,67558,Europe
Slovenia,1457,3,102,1,256,1099,10,701,49,62828,30221,Europe
Slovakia,1457,2,26,-1,941,490,5,267,5,119859,21954,Europe
Djibouti,1189,-1,3,-1,834,352,-1,1203,3,15056,15239,Africa
Sudan,1164,-1,64,-1,119,981,-1,27,1,-1,-1,Africa
Somalia,1054,57,51,3,118,885,2,66,3,-1,-1,Africa
Hong Kong,1048,3,4,-1,982,62,1,140,0.5,168291,22448,Asia
