index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1471595,14002,87822,910,317614,1066159,16173,4449,266,10860868,32837,330753490,North America
2,Spain,274367,1721,27459,138,188967,57941,1320,5868,587,2467761,52784,46752506,Europe
3,Russia,262843,10598,2418,113,58226,202199,2300,1801,17,6413948,43953,145926611,Europe
4,UK,236711,3560,33998,384,-1,-1,1559,3489,501,2353078,34686,67840351,Europe
5,Italy,223885,789,31610,242,120205,72070,808,3702,523,2875680,47553,60472892,Europe
6,Brazil,208031,5113,14267,274,79479,114285,8318,980,67,735224,3462,212364444,South America
7,France,178870,-1,27529,104,60448,90893,2203,2741,422,1384633,21219,65255252,Europe
8,Germany,175223,248,7933,5,151700,15590,1329,2092,95,3147771,37585,83749935,Europe
9,Turkey,146457,1708,4055,48,106133,36269,944,1739,48,1547389,18373,84220162,Asia
10,Iran,116635,2102,6902,48,91836,17897,2727,1391,82,658604,7854,83850893,Asia
11,India,85784,3787,2753,104,30234,52797,-1,62,2,2039952,1480,1378233611,Asia
12,Peru,84495,3891,2392,125,27147,54956,842,2567,73,605383,18395,32910878,South America
13,Canada,74532,1131,5553,81,36747,32232,502,1977,147,1169380,31019,37699156,North America
14,Belgium,54644,356,8959,56,14301,31384,380,4718,773,645314,55711,11583189,Europe
15,Saudi Arabia,49176,2307,292,9,21869,27015,167,1415,8,530265,15263,34741400,Asia
16,Netherlands,43681,200,5643,53,-1,-1,378,2550,329,287943,16809,17130079,Europe
17,Mexico,42595,2409,4477,257,28475,9643,378,331,35,155932,1211,128755457,North America
18,Chile,39542,2502,394,26,16614,22534,584,2071,21,341347,17876,19094896,South America
19,Pakistan,37218,1430,803,33,10155,26260,111,169,4,344450,1563,220309834,Asia
20,Switzerland,30514,51,1878,6,27100,1536,69,3529,217,334274,38660,8646448,Europe
21,Ecuador,30502,-1,2338,-1,3433,24731,196,1732,133,88923,5050,17607301,South America
22,Qatar,29425,1153,14,-1,3546,25865,72,10237,5,148173,51547,2874514,Asia
23,Sweden,29207,625,3646,117,4971,20590,351,2894,361,177500,17590,10091169,Europe
