Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1008043,20883,56649,1236,137739,813655,14175,3045,171,5667482,17122,North America
Spain,229422,2793,23521,331,120832,85069,7764,4907,503,1345560,28779,Europe
Italy,199414,1739,26977,333,66624,105813,1956,3298,446,1789662,29600,Europe
France,165842,3742,23293,437,45513,97036,4608,2541,357,463662,7103,Europe
Germany,158434,664,6061,85,114500,37873,2409,1891,72,2072669,24738,Europe
UK,157149,4309,21092,360,-1,135713,1559,2315,311,719910,10605,Europe
Turkey,112261,2131,2900,95,33791,75570,1736,1331,34,918885,10895,Asia
Iran,91472,991,5806,96,70933,14733,3011,1089,69,432329,5147,Asia
Russia,87147,6198,794,47,7346,79007,2300,597,5,3019434,20690,Europe
Brazil,66501,3642,4543,272,31142,30816,8318,313,21,291922,1373,South America
Canada,48458,1563,2704,144,18215,27539,557,1284,72,717451,19009,North America
Belgium,46687,553,7207,113,10878,28602,903,4028,622,214042,18468,Europe
Netherlands,38245,400,4518,43,-1,33477,905,2232,264,193950,11319,Europe
India,29451,1561,939,58,7137,21375,-1,21,0.7,665819,482,Asia
Switzerland,29164,103,1665,55,22200,5299,185,3370,192,245300,28343,Europe
Peru,28699,1182,782,54,8425,19492,598,870,24,239563,7266,South America
Portugal,24027,163,928,25,1357,21742,176,2356,91,360155,35321,Europe
Ecuador,23240,521,663,87,1557,21020,146,1317,38,61529,3487,South America
Ireland,19648,386,1102,15,9233,9313,146,3979,223,127319,25785,Europe
Sweden,18926,286,2274,80,1005,15647,399,1874,225,94500,9357,Europe
Saudi Arabia,18811,1289,144,5,2531,16136,117,540,4,200000,5745,Asia
Israel,15555,112,204,3,7200,8151,129,1797,24,302691,34971,Asia
Austria,15274,49,549,7,12362,2363,140,1696,61,232537,25819,Europe
Mexico,14677,835,1351,46,8354,4972,378,114,10,67635,525,North America
Singapore,14423,799,14,2,1095,13314,20,2465,2,121774,20815,Asia
Pakistan,13915,587,292,11,3029,10594,111,63,1,150756,682,Asia
Chile,13813,482,198,9,7327,6288,426,723,10,161235,8434,South America
Japan,13441,-1,372,-1,1809,11260,296,106,3,149074,1179,Asia
Poland,11902,285,562,27,2466,8874,160,314,15,297859,7870,Europe
Romania,11339,303,641,22,3141,7557,227,589,33,143834,7477,Europe
Belarus,11289,826,75,3,1740,9474,92,1195,8,153845,16281,Europe
Qatar,11244,957,10,-1,1066,10168,72,3903,3,85709,29749,Asia
UAE,10839,490,82,6,2090,8667,1,1096,8,1057326,106904,Asia
S. Korea,10738,10,243,1,8764,1731,55,209,5,601660,11735,Asia
Indonesia,9096,214,765,22,1151,7180,-1,33,3,75157,275,Asia
Ukraine,9009,392,220,11,864,7925,110,206,5,93519,2138,Europe
Denmark,8698,123,427,5,5959,2312,72,1502,74,155810,26900,Europe
Serbia,8275,233,162,6,1209,6904,85,947,19,67917,7773,Europe
Philippines,7777,198,511,10,932,6334,31,71,5,89889,820,Asia
Norway,7554,27,205,4,32,7317,52,1393,38,164316,30310,Europe
Czechia,7445,41,223,3,2826,4396,73,695,21,218474,20401,Europe
Australia,6720,4,83,-1,5586,1051,43,264,3,517063,20277,Australia/Oceania
Dominican Republic,6293,158,282,4,993,5018,144,580,26,22498,2074,North America
Bangladesh,5913,497,152,7,131,5630,1,36,0.9,50401,306,Asia
Malaysia,5820,40,99,1,3957,1764,37,180,3,144686,4470,Asia
Panama,5779,241,165,6,369,5245,85,1339,38,26642,6175,North America
Colombia,5379,-1,244,-1,1133,4002,117,106,5,87199,1714,South America
South Africa,4793,247,90,3,1473,3230,36,81,2,178470,3009,Africa
Egypt,4782,248,337,20,1236,3209,-1,47,3,90000,879,Africa
Finland,4695,119,193,3,2500,2002,56,847,35,82437,14878,Europe
Morocco,4120,55,162,1,695,3263,1,112,4,29254,793,Africa
Argentina,3892,-1,192,-1,1140,2560,144,86,4,49905,1104,South America
Luxembourg,3729,6,88,-1,3123,518,20,5957,141,39102,62465,Europe
Algeria,3517,135,432,7,1558,1527,40,80,10,6500,148,Africa
Moldova,3481,73,102,6,925,2454,212,863,25,11763,2916,Europe
Kuwait,3288,213,22,2,1012,2254,64,770,5,-1,-1,Asia
Thailand,2931,9,52,1,2609,270,61,42,0.7,178083,2551,Asia
Kazakhstan,2835,118,25,-1,720,2090,35,151,1,205560,10948,Asia
Bahrain,2723,76,8,-1,1218,1497,2,1600,5,117374,68980,Asia
Hungary,2583,83,280,8,498,1805,61,267,29,65625,6793,Europe
Greece,2534,17,136,2,577,1821,43,243,13,66094,6341,Europe
Oman,2049,51,10,-1,364,1675,3,401,2,-1,-1,Asia
Croatia,2039,9,59,4,1166,814,21,497,14,32817,7994,Europe
Uzbekistan,1904,35,8,-1,892,1004,8,57,0.2,242536,7247,Asia
Iraq,1847,27,88,1,1286,473,-1,46,2,73782,1834,Asia
Armenia,1808,62,29,1,848,931,10,610,10,18547,6259,Asia
Iceland,1792,-1,10,-1,1624,158,1,5251,29,46377,135906,Europe
Afghanistan,1703,172,57,7,220,1426,7,44,1,8694,223,Asia
Azerbaijan,1678,33,22,1,1162,494,15,165,2,128807,12704,Asia
Estonia,1647,4,50,1,233,1364,7,1242,38,48406,36491,Europe
Cameroon,1621,-1,56,-1,786,779,12,61,2,-1,-1,Africa
Bosnia and Herzegovina,1565,49,60,1,659,846,4,477,18,26822,8175,Europe
Ghana,1550,-1,11,-1,155,1384,4,50,0.4,100622,3238,Africa
New Zealand,1469,-1,19,1,1180,270,1,305,4,123920,25698,Australia/Oceania
Lithuania,1449,11,41,-1,474,934,17,532,15,106775,39223,Europe
Slovenia,1402,6,83,1,221,1098,22,674,40,49607,23862,Europe
North Macedonia,1399,13,65,4,553,781,13,672,31,15120,7257,Europe
Cuba,1389,20,56,2,525,808,12,123,5,39828,3516,North America
Slovakia,1381,2,18,-1,403,960,7,253,3,74099,13572,Europe
Bulgaria,1363,63,58,2,206,1099,41,196,8,27000,3886,Europe
Nigeria,1273,-1,40,-1,239,994,2,6,0.2,10918,53,Africa
Ivory Coast,1164,14,14,-1,499,651,-1,44,0.5,-1,-1,Africa
Guinea,1163,167,7,-1,246,910,-1,89,0.5,-1,-1,Africa
Hong Kong,1038,-1,4,-1,787,247,4,138,0.5,145640,19426,Asia
Djibouti,1035,12,2,-1,477,556,-1,1048,2,12250,12399,Africa
Tunisia,967,18,39,1,279,649,18,82,3,21081,1784,Africa
Bolivia,950,84,50,4,80,820,3,81,4,5791,496,South America
Cyprus,822,5,15,1,148,659,15,681,12,50220,41595,Asia
Latvia,818,6,13,1,267,538,5,434,7,49235,26103,Europe
Andorra,738,-1,40,-1,344,354,17,9552,518,1673,21653,Europe
Albania,736,10,28,-1,422,286,4,256,10,7491,2603,Europe
Senegal,736,65,9,-1,284,443,1,44,0.5,466,28,Africa
Diamond Princess,712,-1,13,-1,645,54,4,-1,-1,-1,-1,
Lebanon,710,3,24,-1,145,541,44,104,4,29367,4303,Asia
Niger,701,5,29,-1,385,287,-1,29,1,5013,207,Africa
Costa Rica,697,2,6,-1,287,404,8,137,1,12670,2487,North America
Kyrgyzstan,695,13,8,-1,395,292,13,107,1,45627,6994,Asia
Honduras,661,34,61,2,79,521,10,67,6,3643,368,North America
Burkina Faso,632,-1,42,-1,453,137,-1,30,2,-1,-1,Africa
Uruguay,606,10,15,1,375,216,10,174,4,17063,4912,South America
Sri Lanka,588,65,7,-1,126,455,2,27,0.3,15240,712,Asia
San Marino,538,-1,41,-1,64,433,4,15856,1208,2082,61360,Europe
Channel Islands,525,-1,35,-1,352,138,-1,3020,201,5342,30725,Europe
Guatemala,500,27,15,2,49,436,5,28,0.8,7200,402,North America
Georgia,497,11,6,-1,156,335,6,125,2,11504,2884,Asia
Somalia,480,44,26,3,10,444,2,30,2,-1,-1,Africa
DRC,459,17,28,-1,50,381,-1,5,0.3,-1,-1,Africa
Malta,450,2,4,-1,286,160,1,1019,9,29456,66712,Europe
Jordan,449,2,7,-1,342,100,5,44,0.7,63737,6247,Asia
Taiwan,429,-1,6,-1,290,133,-1,18,0.3,60956,2559,Asia
Réunion,417,-1,-1,-1,300,117,2,466,-1,-1,-1,Africa
Mali,408,19,23,-1,113,272,-1,20,1,2172,107,Africa
Mayotte,401,-1,4,-1,144,253,4,1470,15,2500,9164,Africa
Kenya,363,8,14,-1,114,235,2,7,0.3,17992,335,Africa
Jamaica,350,45,7,-1,28,315,3,118,2,3262,1102,North America
Palestine,342,-1,2,-1,83,257,-1,67,0.4,27000,5293,Asia
Mauritius,334,2,10,1,302,22,3,263,8,14445,11358,Africa
Venezuela,325,-1,10,-1,137,178,3,11,0.4,423592,14896,South America
El Salvador,323,25,8,-1,89,226,4,50,1,20109,3100,North America
Montenegro,321,-1,7,-1,189,125,7,511,11,5085,8096,Europe
Isle of Man,308,-1,20,2,248,40,22,3622,235,2903,34140,Europe
Tanzania,299,-1,10,-1,48,241,7,5,0.2,-1,-1,Africa
Sudan,275,38,22,1,21,232,-1,6,0.5,-1,-1,Africa
Vietnam,270,-1,-1,-1,225,45,8,3,-1,212965,2188,Asia
Equatorial Guinea,258,-1,1,-1,9,248,-1,184,0.7,854,609,Africa
Paraguay,228,-1,9,-1,93,126,1,32,1,7630,1070,South America
Maldives,226,12,-1,-1,17,209,2,418,-1,5296,9798,Asia
Gabon,211,35,3,-1,43,165,1,95,1,724,325,Africa
Rwanda,207,16,-1,-1,93,114,-1,16,-1,6959,537,Africa
Congo,200,-1,6,-1,19,175,-1,36,1,-1,-1,Africa
Faeroe Islands,187,-1,-1,-1,178,9,-1,3827,-1,6588,134826,Europe
Martinique,175,-1,14,-1,77,84,7,466,37,-1,-1,North America
Guadeloupe,149,-1,12,-1,82,55,11,372,30,-1,-1,North America
Myanmar,146,-1,5,-1,16,125,-1,3,0.09,6987,128,Asia
Gibraltar,141,-1,-1,-1,131,10,-1,4185,-1,2198,65240,Europe
Brunei,138,-1,1,-1,124,13,2,315,2,13149,30056,Asia
Madagascar,128,4,-1,-1,75,53,1,5,-1,2357,85,Africa
Liberia,124,-1,12,-1,25,87,-1,25,2,-1,-1,Africa
Ethiopia,124,1,3,-1,50,71,-1,1,0.03,14588,127,Africa
Cambodia,122,-1,-1,-1,119,3,1,7,-1,11576,692,Asia
Trinidad and Tobago,116,1,8,-1,59,49,-1,83,6,1532,1095,North America
French Guiana,111,-1,1,-1,87,23,-1,372,3,-1,-1,South America
Bermuda,110,1,6,1,44,60,10,1766,96,1682,27008,North America
Cabo Verde,109,3,1,-1,1,107,-1,196,2,791,1423,Africa
Aruba,100,-1,2,-1,73,25,4,937,19,1626,15230,North America
Togo,98,-1,6,-1,62,30,-1,12,0.7,5951,719,Africa
Monaco,95,1,4,-1,42,49,1,2421,102,-1,-1,Europe
Sierra Leone,93,-1,4,-1,10,79,-1,12,0.5,-1,-1,Africa
Zambia,88,-1,3,-1,42,43,1,5,0.2,2586,141,Africa
Liechtenstein,82,-1,1,-1,55,26,-1,2151,26,900,23605,Europe
Bahamas,80,-1,11,-1,22,47,1,203,28,-1,-1,North America
Barbados,79,-1,6,-1,39,34,4,275,21,1663,5787,North America
Uganda,79,-1,-1,-1,47,32,-1,2,-1,22318,488,Africa
Mozambique,76,-1,-1,-1,12,64,-1,2,-1,1644,53,Africa
