index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1733961,8686,101141,569,481988,1150832,17158,5241,306,15629892,47246,330817010,North America
2,Brazil,394507,2147,24600,51,158593,211314,8318,1857,116,871839,4104,212413908,South America
3,Russia,370680,8338,3968,161,142208,224504,2300,2540,27,9415992,64525,145928655,Europe
4,Spain,283339,-1,27117,-1,196958,59264,854,6060,580,3556567,76071,46753098,Europe
5,UK,267240,2013,37460,412,-1,-1,1559,3939,552,3798490,55982,67852019,Europe
6,Italy,231139,584,33072,117,147101,50966,505,3822,547,3607251,59654,60469988,Europe
7,France,182722,-1,28530,-1,65879,88313,1555,2800,437,1384633,21217,65259974,Europe
8,Germany,181530,242,8498,-1,162800,10232,821,2167,101,3595059,42922,83758696,Europe
9,Turkey,158762,-1,4397,-1,121507,32858,739,1884,52,1873607,22239,84249900,Asia
10,India,157777,6984,4528,184,67452,85797,8944,114,3,3242160,2352,1378678095,Asia
11,Iran,141591,2080,7564,56,111176,22851,2551,1688,90,856546,10211,83886140,Asia
12,Peru,129751,-1,3788,-1,52906,73057,923,3941,115,875721,26597,32925941,South America
13,Canada,87481,834,6760,121,46072,34649,502,2320,179,1528315,40528,37709994,North America
14,Chile,82289,4328,841,35,33540,47908,1251,4308,44,514523,26938,19100270,South America
15,Saudi Arabia,78541,1815,425,14,51022,27094,384,2260,12,754268,21700,34759189,Asia
16,Mexico,74560,3455,8134,501,52219,14207,378,579,63,235129,1826,128799843,North America
17,Pakistan,59151,1446,1225,28,19142,38784,111,268,6,499399,2265,220450694,Asia
18,Belgium,57592,137,9364,30,15465,32763,220,4971,808,804890,69478,11584839,Europe
19,Qatar,48947,1740,30,2,13283,35634,203,17018,10,201180,69949,2876111,Asia
20,Netherlands,45768,190,5871,15,-1,-1,188,2672,343,335524,19585,17131319,Europe
21,Belarus,38956,897,214,6,15923,22819,92,4122,23,485534,51381,9449610,Europe
22,Bangladesh,38292,1541,544,22,7925,29823,1,233,3,266456,1620,164528877,Asia
23,Ecuador,37355,-1,3203,-1,18003,16149,211,2121,182,106554,6049,17616090,South America
24,Sweden,35088,648,4220,95,4971,25897,264,3476,418,238800,23659,10093230,Europe
25,Singapore,32876,533,23,-1,17276,15577,7,5624,4,334691,57252,5845893,Asia
26,Portugal,31292,285,1356,14,18349,11587,66,3068,133,689705,67622,10199416,Europe
27,UAE,31086,-1,253,-1,15982,14851,1,3147,26,2072493,209797,9878576,Asia
28,Switzerland,30776,15,1917,2,28200,659,42,3559,222,380671,44016,8648520,Europe
29,Ireland,24735,-1,1615,-1,21060,2060,54,5015,327,325795,66053,4932355,Europe
30,South Africa,24264,-1,524,-1,12741,10999,128,410,9,605991,10230,59234476,Africa
31,Indonesia,23851,686,1473,55,6057,16321,-1,87,5,278411,1019,273239726,Asia
32,Kuwait,23267,692,175,3,7946,15146,193,5456,41,278945,65415,4264228,Asia
33,Colombia,23003,-1,776,-1,5511,16716,136,453,15,271118,5334,50829634,South America
34,Poland,22473,399,1028,4,10330,11115,160,594,27,824774,21790,37850425,Europe
35,Ukraine,21905,321,658,14,7995,13252,259,501,15,312532,7142,43757273,Europe
36,Egypt,18756,-1,797,-1,5027,12932,41,184,8,135000,1322,102136256,Africa
37,Romania,18594,165,1223,7,12162,5209,198,966,64,397563,20654,19249131,Europe
38,Israel,16771,14,281,-1,14486,2004,39,1823,31,552471,60067,9197590,Asia
39,Japan,16623,-1,846,-1,13810,1967,155,131,7,276170,2183,126511690,Asia
40,Austria,16591,34,645,2,15228,718,32,1843,72,418706,46515,9001487,Europe
41,Dominican Republic,15723,459,474,6,8790,6459,123,1451,44,70972,6549,10837265,North America
42,Philippines,15049,380,904,18,3506,10639,81,138,8,315363,2882,109435773,Asia
43,Argentina,13228,-1,492,8,4349,8387,171,293,11,140218,3105,45155378,South America
44,Afghanistan,12456,625,227,7,1138,11091,19,321,6,33864,872,38836559,Asia
45,Denmark,11480,52,565,2,10106,809,22,1983,98,576061,99488,5790276,Europe
46,Panama,11447,-1,313,-1,6379,4755,72,2657,73,60598,14067,4307910,North America
47,Serbia,11275,48,240,1,6277,4758,10,1290,27,229485,26255,8740556,Europe
48,S. Korea,11265,40,269,-1,10295,701,15,220,5,852876,16637,51265081,Asia
49,Bahrain,9633,267,15,1,5142,4476,10,5683,9,289453,170772,1694967,Asia
50,Kazakhstan,9304,335,37,-1,4746,4521,58,496,2,710352,37876,18754495,Asia
