Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1147588,16558,66650,897,162114,918824,16481,3467,201,6838233,20659,North America
Spain,245567,2588,25100,276,146233,74234,2386,5252,537,1528833,32699,Europe
Italy,209328,1900,28710,474,79914,100704,1539,3462,475,2108837,34879,Europe
UK,182260,4806,28131,621,-1,153785,1559,2685,414,1129907,16644,Europe
France,167346,-1,24594,-1,50212,92540,3878,2564,377,1100228,16856,Europe
Germany,164478,401,6736,-1,129000,28742,2105,1963,80,2547052,30400,Europe
Turkey,124375,1983,3336,78,58259,62780,1445,1475,40,1111366,13177,Asia
Russia,124054,9623,1222,53,15013,107819,2300,850,8,3945518,27036,Europe
Iran,96448,802,6156,65,77350,12942,2787,1148,73,484541,5769,Asia
Brazil,92630,521,6434,24,38039,48157,8318,436,30,339552,1597,South America
Canada,56580,1519,3560,169,23316,29704,557,1499,94,832222,22050,North America
Belgium,49517,485,7765,62,12211,29541,689,4273,670,260996,22520,Europe
Peru,40459,-1,1124,-1,11129,28206,658,1227,34,342498,10388,South America
Netherlands,40236,445,4987,94,-1,34999,708,2348,291,225899,13184,Europe
India,37776,519,1223,-1,10007,26546,-1,27,0.9,976363,708,Asia
Switzerland,29817,112,1760,6,23900,4157,141,3445,203,276000,31890,Europe
Ecuador,27464,1128,1371,308,2132,23961,149,1557,78,73929,4190,South America
Saudi Arabia,25459,1362,176,7,3765,21518,139,731,5,339775,9760,Asia
Portugal,25190,203,1023,16,1671,22496,150,2470,100,426836,41860,Europe
Sweden,22082,562,2669,16,1005,18408,531,2186,264,119500,11833,Europe
Ireland,21176,343,1286,21,13386,6504,99,4289,260,153954,31179,Europe
Mexico,20739,1515,1972,113,12377,6390,378,161,15,91188,707,North America
Pakistan,18770,678,432,15,4753,13585,111,85,2,193859,878,Asia
Chile,18435,1427,247,13,9572,8616,425,964,13,199400,10431,South America
Singapore,17548,447,17,1,1347,16184,24,2999,3,143919,24600,Asia
Israel,16152,51,227,2,9400,6525,107,1866,26,390022,45060,Asia
Belarus,15828,911,97,4,3117,12614,92,1675,10,195430,20682,Europe
Austria,15558,27,596,7,13180,1782,114,1727,66,269619,29936,Europe
Qatar,14872,776,12,-1,1534,13326,72,5162,4,101728,35309,Asia
Japan,14305,-1,455,-1,2975,10875,328,113,4,174150,1377,Asia
UAE,13599,561,119,8,2664,10816,1,1375,12,1200000,121330,Asia
Poland,13375,270,664,13,3762,8949,160,353,18,366013,9671,Europe
Romania,12732,165,771,27,4547,7414,265,662,40,190540,9905,Europe
Ukraine,11411,550,279,7,1498,9634,151,261,6,122752,2807,Europe
Indonesia,10843,292,831,31,1665,8347,-1,40,3,107943,395,Asia
S. Korea,10780,6,250,2,9123,1407,55,210,5,623069,12153,Asia
Denmark,9407,96,475,15,6889,2043,60,1624,82,221912,38312,Europe
Serbia,9362,157,189,4,1426,7747,57,1071,22,96637,11060,Europe
Philippines,8928,156,603,24,1124,7201,31,81,6,115012,1050,Asia
Bangladesh,8790,552,175,5,177,8438,1,53,1,76066,462,Asia
Norway,7801,18,210,-1,32,7559,37,1439,39,172586,31835,Europe
Czechia,7750,13,245,5,3446,4059,67,724,23,253826,23702,Europe
Dominican Republic,7578,290,326,13,1481,5771,144,699,30,30102,2775,North America
Colombia,7006,-1,314,-1,1551,5141,118,138,6,108950,2141,South America
Australia,6783,16,93,-1,5789,901,28,266,4,611583,23984,Australia/Oceania
Panama,6720,188,192,4,622,5906,85,1557,44,31895,7392,North America
Egypt,6193,298,415,9,1522,4256,-1,61,4,90000,879,Africa
Malaysia,6176,105,103,-1,4326,1747,31,191,3,184213,5692,Asia
South Africa,5951,-1,116,-1,2382,3453,36,100,2,217522,3668,Africa
Finland,5176,125,220,2,3000,1956,52,934,40,101800,18373,Europe
Morocco,4729,160,173,2,1256,3300,1,128,5,39367,1067,Africa
Kuwait,4619,242,33,3,1703,2883,69,1082,8,179000,41915,Asia
Argentina,4532,-1,229,4,1320,2983,157,100,5,61530,1361,South America
Algeria,4295,141,459,6,1872,1964,22,98,10,6500,148,Africa
Moldova,4052,72,124,2,1334,2594,237,1004,31,11763,2916,Europe
Kazakhstan,3857,260,25,-1,985,2847,41,205,1,282862,15065,Asia
Luxembourg,3812,10,92,-1,3318,402,23,6090,147,47460,75817,Europe
Bahrain,3284,114,8,-1,1568,1708,1,1930,5,139354,81897,Asia
Thailand,2966,6,54,-1,2732,180,61,42,0.8,178083,2551,Asia
Hungary,2942,79,335,12,625,1982,52,305,35,79551,8235,Europe
Greece,2620,8,143,3,1374,1103,37,251,14,78207,7503,Europe
Oman,2483,36,12,1,750,1721,17,486,2,40459,7923,Asia
