Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1075131,10937,62291,636,149604,863236,18697,3248,188,6203311,18741,North America
Spain,239639,2740,24543,268,137984,77112,2676,5125,525,1455306,31126,Europe
Italy,205463,1872,27967,285,75945,101551,1694,3398,463,1979217,32735,Europe
France,166420,-1,24087,-1,48228,94105,4207,2550,369,463662,7103,Europe
UK,165221,-1,26097,-1,-1,138780,1559,2434,384,818539,12058,Europe
Germany,162123,584,6518,51,123500,32105,2415,1935,78,2547052,30400,Europe
Turkey,120204,2615,3174,93,48886,68144,1514,1425,38,1033617,12255,Asia
Russia,106498,7099,1073,101,11619,93806,2300,730,7,3490000,23915,Europe
Iran,94640,983,6028,71,75103,13509,2976,1127,72,463295,5516,Asia
Brazil,80246,885,5541,30,34132,40573,8318,378,26,339552,1597,South America
Canada,52069,472,3082,86,20936,28051,557,1380,82,779613,20656,North America
Belgium,48519,660,7594,93,11576,29349,769,4186,655,237963,20532,Europe
Netherlands,39316,514,4795,84,-1,34271,783,2295,280,219744,12824,Europe
Peru,33931,-1,943,-1,10037,22951,623,1029,29,296262,8985,South America
India,33610,548,1079,-1,8437,24094,-1,24,0.8,830201,602,Asia
Switzerland,29586,179,1737,21,23100,4749,167,3419,201,266200,30758,Europe
Portugal,25045,540,989,16,1519,22537,172,2456,97,395771,38814,Europe
Ecuador,24934,259,900,17,1558,22476,146,1413,51,69054,3914,South America
Saudi Arabia,22753,1351,162,5,3163,19428,125,654,5,200000,5745,Asia
Sweden,21092,790,2586,124,1005,17501,531,2088,256,119500,11833,Europe
Ireland,20253,-1,1190,-1,13386,5677,129,4102,241,153954,31179,Europe
Mexico,17799,1047,1732,163,11423,4644,378,138,13,81912,635,North America
Singapore,16169,528,15,1,1244,14910,22,2764,3,143919,24600,Asia
Pakistan,16117,592,358,15,4105,11654,111,73,2,174160,788,Asia
Chile,16023,1138,227,11,8580,7216,392,838,12,180517,9443,South America
Israel,15870,36,219,4,8412,7239,117,1834,25,364467,42108,Asia
Austria,15452,50,584,4,12907,1961,128,1716,65,256399,28469,Europe
Belarus,14027,846,89,5,2386,11552,92,1484,9,176625,18692,Europe
Japan,13965,70,425,12,2368,11172,306,110,3,164255,1299,Asia
Qatar,13409,845,10,-1,1372,12027,72,4654,3,94500,32801,Asia
Poland,12877,237,644,20,3236,8997,160,340,17,338027,8931,Europe
UAE,12481,552,105,7,2429,9947,1,1262,11,1122000,113443,Asia
Romania,12240,262,705,12,4017,7518,221,636,37,175374,9116,Europe
S. Korea,10765,4,247,1,9059,1459,55,210,5,619881,12091,Asia
Ukraine,10406,540,261,11,1238,8907,138,238,6,111859,2558,Europe
Indonesia,10118,347,792,8,1522,7804,-1,37,3,94599,346,Asia
Denmark,9158,150,452,9,6546,2160,62,1581,78,193165,33349,Europe
Serbia,9009,285,179,6,1343,7487,71,1031,20,85645,9802,Europe
Philippines,8488,276,568,10,1043,6877,31,77,5,104146,950,Asia
Norway,7738,28,207,-1,32,7499,40,1427,38,169124,31197,Europe
Bangladesh,7667,564,168,5,160,7339,1,47,1,64666,393,Asia
Czechia,7642,63,235,8,3281,4126,68,714,22,242088,22606,Europe
Dominican Republic,6972,320,301,8,1301,5370,144,643,28,25368,2339,North America
Australia,6753,7,91,2,5715,947,34,265,4,563641,22104,Australia/Oceania
Panama,6378,178,178,2,527,5673,92,1478,41,29837,6915,North America
Colombia,6211,4,278,-1,1411,4522,118,122,5,95085,1869,South America
Malaysia,6002,57,102,2,4171,1729,40,185,3,160296,4953,Asia
Egypt,5537,269,392,12,1381,3764,-1,54,4,90000,879,Africa
South Africa,5350,-1,103,-1,2073,3174,36,90,2,197127,3324,Africa
Finland,4995,89,211,5,3000,1784,48,902,38,93900,16947,Europe
Morocco,4423,102,170,2,984,3269,1,120,5,34841,944,Africa
Argentina,4285,-1,214,-1,1192,2879,144,95,5,56058,1240,South America
Kuwait,4024,284,26,2,1539,2459,66,942,6,179000,41915,Asia
Algeria,4006,158,450,6,1779,1777,22,91,10,6500,148,Africa
Moldova,3897,126,116,5,1182,2599,237,966,29,11763,2916,Europe
Luxembourg,3784,15,90,1,3213,481,23,6045,144,42643,68122,Europe
Kazakhstan,3356,218,25,-1,858,2473,41,179,1,249527,13289,Asia
Bahrain,3037,116,8,-1,1495,1534,1,1785,5,128481,75507,Asia
Thailand,2954,7,54,-1,2684,216,61,42,0.8,178083,2551,Asia
Hungary,2775,48,312,12,581,1882,54,287,32,72951,7552,Europe
Greece,2591,15,140,1,1374,1077,38,249,13,75170,7212,Europe
Oman,2348,74,11,1,495,1842,17,460,2,40459,7923,Asia
Afghanistan,2171,232,64,4,260,1847,7,56,2,10022,257,Asia
Croatia,2076,14,69,2,1348,659,20,506,17,36221,8823,Europe
Ghana,2074,403,17,1,212,1845,4,67,0.5,113497,3653,Africa
Armenia,2066,134,32,2,929,1105,10,697,11,21125,7129,Asia
Uzbekistan,2017,15,9,-1,1126,882,8,60,0.3,242536,7247,Asia
Iraq,2003,-1,92,-1,1346,565,-1,50,2,86708,2156,Asia
Cameroon,1832,-1,61,-1,934,837,12,69,2,-1,-1,Africa
Azerbaijan,1804,38,24,1,1325,455,17,178,2,143079,14112,Asia
Iceland,1797,-1,10,-1,1670,117,-1,5266,29,48413,141873,Europe
Bosnia and Herzegovina,1757,80,69,4,727,961,4,536,21,30793,9386,Europe
Nigeria,1728,-1,51,-1,307,1370,2,8,0.2,13689,66,Africa
Estonia,1689,23,52,2,249,1388,9,1273,39,52741,39758,Europe
Bulgaria,1506,59,66,2,266,1174,40,217,9,45208,6506,Europe
Cuba,1501,34,61,3,681,759,10,133,5,47347,4180,North America
New Zealand,1476,2,19,-1,1241,216,1,306,4,134570,27906,Australia/Oceania
North Macedonia,1465,23,77,4,738,650,13,703,37,16050,7704,Europe
Slovenia,1429,11,91,2,233,1105,22,687,44,52948,25469,Europe
Slovakia,1396,5,23,1,524,849,8,256,4,85922,15738,Europe
Lithuania,1385,10,45,-1,589,751,17,509,17,125555,46121,Europe
Guinea,1351,-1,7,-1,313,1031,-1,103,0.5,-1,-1,Africa
Ivory Coast,1238,-1,14,-1,557,667,-1,47,0.5,-1,-1,Africa
Bolivia,1110,57,59,4,117,934,3,95,5,5791,496,South America
Djibouti,1089,12,2,-1,642,445,-1,1102,2,13422,13585,Africa
Hong Kong,1038,-1,4,-1,846,188,4,138,0.5,154989,20674,Asia
Tunisia,980,-1,40,-1,294,646,20,83,3,22062,1867,Africa
Senegal,933,51,9,-1,334,590,1,56,0.5,466,28,Africa
Latvia,858,9,15,-1,348,495,3,455,8,57886,30689,Europe
Cyprus,850,7,15,-1,148,687,15,704,12,58109,48129,Asia
Albania,773,7,31,1,470,272,4,269,11,8253,2868,Europe
Honduras,771,33,71,5,79,621,10,78,7,3643,368,North America
Kyrgyzstan,746,17,8,-1,462,276,12,114,1,51472,7889,Asia
Andorra,743,-1,42,-1,423,278,17,9616,544,1673,21653,Europe
Lebanon,725,4,24,-1,150,551,44,106,4,34499,5054,Asia
Niger,713,-1,32,-1,435,246,-1,29,1,5148,213,Africa
Costa Rica,713,-1,6,-1,323,384,8,140,1,13117,2575,North America
Diamond Princess,712,-1,13,-1,645,54,4,-1,-1,-1,-1,
Sri Lanka,660,11,7,-1,139,514,1,31,0.3,21157,988,Asia
Burkina Faso,641,-1,43,-1,498,100,-1,31,2,-1,-1,Africa
Uruguay,630,5,15,-1,412,203,11,181,4,19016,5474,South America
Somalia,601,19,28,-1,31,542,2,38,2,-1,-1,Africa
Guatemala,585,28,16,-1,65,504,5,33,0.9,7200,402,North America
San Marino,569,6,41,-1,78,450,6,16769,1208,2305,67932,Europe
Georgia,539,22,6,-1,184,349,6,135,2,13673,3428,Asia
Mayotte,539,79,4,-1,235,300,4,1976,15,3000,10996,Africa
Channel Islands,537,-1,40,2,386,111,-1,3089,230,5342,30725,Europe
DRC,500,9,31,1,65,404,-1,6,0.3,-1,-1,Africa
Mali,482,-1,25,-1,129,328,-1,24,1,2172,107,Africa
Tanzania,480,-1,16,-1,167,297,7,8,0.3,-1,-1,Africa
Malta,465,2,4,-1,351,110,1,1053,9,32989,74713,Europe
Jordan,453,2,8,-1,362,83,5,44,0.8,63737,6247,Asia
Taiwan,429,-1,6,-1,322,101,-1,18,0.3,62844,2639,Asia
Réunion,420,-1,-1,-1,300,120,2,469,-1,-1,-1,Africa
Kenya,396,12,17,2,144,235,2,7,0.3,20268,377,Africa
Jamaica,396,-1,7,-1,29,360,3,134,2,3993,1348,North America
Maldives,396,118,1,-1,17,378,2,733,2,5296,9798,Asia
El Salvador,395,18,9,-1,118,268,3,61,1,24057,3709,North America
Sudan,375,-1,28,-1,32,315,-1,9,0.6,-1,-1,Africa
Palestine,344,-1,2,-1,71,271,-1,67,0.4,27000,5293,Asia
Mauritius,332,-1,10,-1,310,12,3,261,8,16028,12603,Africa
Venezuela,331,-1,10,-1,142,179,2,12,0.4,458737,16132,South America
Montenegro,322,-1,7,-1,214,101,2,513,11,6864,10929,Europe
Isle of Man,315,2,21,-1,260,34,21,3704,247,3117,36656,Europe
Equatorial Guinea,315,-1,1,-1,9,305,-1,225,0.7,854,609,Africa
Gabon,276,-1,3,-1,67,206,1,124,1,724,325,Africa
Vietnam,270,-1,-1,-1,219,51,8,3,-1,261004,2681,Asia
Paraguay,249,10,9,-1,111,129,1,35,1,8891,1247,South America
Rwanda,225,-1,-1,-1,98,127,-1,17,-1,8464,653,Africa
Congo,220,13,9,1,19,192,-1,40,2,-1,-1,Africa
Guinea-Bissau,205,-1,1,-1,19,185,-1,104,0.5,1500,762,Africa
Faeroe Islands,187,-1,-1,-1,184,3,-1,3827,-1,6963,142500,Europe
Martinique,178,3,14,-1,83,81,5,474,37,-1,-1,North America
Guadeloupe,151,2,12,-1,95,44,11,377,30,-1,-1,North America
Myanmar,150,-1,6,-1,27,117,-1,3,0.1,7718,142,Asia
Gibraltar,144,3,-1,-1,131,13,-1,4274,-1,2626,77944,Europe
Liberia,141,-1,16,-1,45,80,-1,28,3,-1,-1,Africa
Brunei,138,-1,1,-1,124,13,2,315,2,13580,31041,Asia
Ethiopia,131,1,3,-1,59,69,-1,1,0.03,17842,155,Africa
Madagascar,128,-1,-1,-1,92,36,1,5,-1,3228,117,Africa
French Guiana,126,1,1,-1,94,31,2,422,3,-1,-1,South America
Sierra Leone,124,20,7,3,21,96,-1,16,0.9,-1,-1,Africa
Cambodia,122,-1,-1,-1,119,3,1,7,-1,11975,716,Asia
Togo,116,7,9,2,65,42,-1,14,1,6882,831,Africa
Trinidad and Tobago,116,-1,8,-1,72,36,-1,83,6,1683,1203,North America
Cabo Verde,113,-1,1,-1,2,110,-1,203,2,791,1423,Africa
Bermuda,111,-1,6,-1,48,57,10,1782,96,2197,35277,North America
Zambia,106,9,3,-1,55,48,1,6,0.2,5284,287,Africa
Aruba,100,-1,2,-1,73,25,4,937,19,1649,15445,North America
Eswatini,100,9,1,-1,12,87,-1,86,0.9,714,615,Africa
Monaco,95,-1,4,-1,64,27,1,2421,102,-1,-1,Europe
Liechtenstein,82,-1,1,-1,55,26,-1,2151,26,900,23605,Europe
Uganda,81,-1,-1,-1,52,29,-1,2,-1,29279,640,Africa
Bahamas,80,-1,11,-1,25,44,1,203,28,-1,-1,North America
Barbados,80,-1,7,-1,39,34,4,278,24,2005,6977,North America
Guyana,78,4,8,-1,18,52,3,99,10,519,660,South America
Haiti,76,-1,7,1,8,61,-1,7,0.6,776,68,North America
Mozambique,76,-1,-1,-1,12,64,-1,2,-1,1896,61,Africa
Sint Maarten,75,-1,13,-1,33,29,7,1749,303,302,7044,North America
Cayman Islands,73,-1,1,-1,10,62,3,1111,15,1535,23356,North America
Benin,64,-1,1,-1,33,30,-1,5,0.08,-1,-1,Africa
Libya,61,-1,2,-1,18,41,-1,9,0.3,1623,236,Africa
French Polynesia,58,-1,-1,-1,50,8,1,206,-1,2409,8576,Australia/Oceania
Nepal,57,-1,-1,-1,16,41,-1,2,-1,57189,1963,Asia
Chad,52,-1,2,-1,19,31,-1,3,0.1,-1,-1,Africa
CAR,50,-1,-1,-1,10,40,-1,10,-1,-1,-1,Africa
Macao,45,-1,-1,-1,35,10,1,69,-1,-1,-1,Asia
Syria,43,-1,3,-1,21,19,-1,2,0.2,-1,-1,Asia
Zimbabwe,40,8,4,-1,5,31,-1,3,0.3,7642,514,Africa
Eritrea,39,-1,-1,-1,19,20,-1,11,-1,-1,-1,Africa
Saint Martin,38,-1,3,-1,24,11,3,983,78,-1,-1,North America
Mongolia,38,-1,-1,-1,10,28,-1,12,-1,7455,2274,Asia
Malawi,37,1,3,-1,7,27,1,2,0.2,774,40,Africa
South Sudan,35,1,-1,-1,-1,35,-1,3,-1,-1,-1,Africa
Angola,27,-1,2,-1,7,18,-1,0.8,0.06,-1,-1,Africa
Antigua and Barbuda,24,-1,3,-1,11,10,1,245,31,113,1154,North America
Timor-Leste,24,-1,-1,-1,16,8,-1,18,-1,322,244,Asia
Botswana,23,-1,1,-1,5,17,-1,10,0.4,6548,2784,Africa
Grenada,20,-1,-1,-1,13,7,4,178,-1,1406,12495,North America
Laos,19,-1,-1,-1,8,11,-1,3,-1,1927,265,Asia
Belize,18,-1,2,-1,9,7,1,45,5,995,2502,North America
Fiji,18,-1,-1,-1,12,6,-1,20,-1,1007,1123,Australia/Oceania
New Caledonia,18,-1,-1,-1,17,1,1,63,-1,4456,15608,Australia/Oceania
Saint Lucia,17,-1,-1,-1,15,2,-1,93,-1,446,2429,North America
Curaçao,16,-1,1,-1,13,2,-1,98,6,343,2090,North America
Dominica,16,-1,-1,-1,13,3,-1,222,-1,383,5320,North America
Namibia,16,-1,-1,-1,8,8,-1,6,-1,704,277,Africa
St. Vincent Grenadines,16,-1,-1,-1,8,8,-1,144,-1,108,973,North America
Saint Kitts and Nevis,15,-1,-1,-1,6,9,-1,282,-1,293,5508,North America
Tajikistan,15,15,-1,-1,-1,15,-1,2,-1,-1,-1,Asia
Nicaragua,14,1,3,-1,7,4,-1,2,0.5,-1,-1,North America
Sao Tome and Principe,14,6,-1,-1,4,10,-1,64,-1,19,87,Africa
Falkland Islands,13,-1,-1,-1,11,2,-1,3736,-1,372,106897,South America
Turks and Caicos,12,-1,1,-1,5,6,-1,310,26,83,2144,North America
Burundi,11,-1,1,-1,4,6,-1,0.9,0.08,284,24,Africa
Gambia,11,1,1,-1,8,2,-1,5,0.4,401,166,Africa
Montserrat,11,-1,1,-1,2,8,1,2204,200,36,7212,North America
Greenland,11,-1,-1,-1,11,0,-1,194,-1,1258,22160,North America
Vatican City,11,1,-1,-1,2,9,-1,13733,-1,-1,-1,Europe
Seychelles,11,-1,-1,-1,6,5,-1,112,-1,-1,-1,Africa
Suriname,10,-1,1,-1,8,1,-1,17,2,404,689,South America
MS Zaandam,9,-1,2,-1,-1,7,-1,-1,-1,-1,-1,
Mauritania,8,-1,1,-1,6,1,-1,2,0.2,1032,222,Africa
Papua New Guinea,8,-1,-1,-1,-1,8,-1,0.9,-1,604,68,Australia/Oceania
Bhutan,7,-1,-1,-1,5,2,-1,9,-1,10045,13018,Asia
Yemen,6,-1,2,2,1,3,-1,0.2,0.07,120,4,Asia
British Virgin Islands,6,-1,1,-1,3,2,-1,198,33,-1,-1,North America
