Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1244538,6905,72876,605,202908,968754,16173,3760,220,7795960,23553,North America
Spain,253682,3121,25857,244,159359,68466,2075,5426,553,1932455,41332,Europe
Italy,214457,1444,29684,369,93245,91528,1333,3547,491,2310929,38221,Europe
UK,201101,6111,30076,649,-1,170681,1559,2962,443,1383842,20385,Europe
France,170551,-1,25531,-1,52736,92284,3430,2613,391,1100228,16856,Europe
Germany,167372,365,6993,-1,137400,22979,1884,1998,83,2547052,30400,Europe
Russia,165929,10559,1537,86,21327,143065,2300,1137,11,4633731,31752,Europe
Turkey,131744,2253,3584,64,78202,49958,1278,1562,42,1234724,14640,Asia
Brazil,116299,1584,7966,45,48221,60112,8318,547,37,339552,1597,South America
Iran,101650,1680,6418,78,81587,13645,2735,1210,76,531275,6325,Asia
Canada,62465,419,4111,68,26993,31361,502,1655,109,940567,24921,North America
India,52340,2940,1768,75,14911,35661,-1,38,1,1276781,925,Asia
Peru,51189,-1,1444,-1,15413,34332,709,1553,44,406579,12331,South America
Belgium,50781,272,8339,323,12731,29711,646,4382,720,474176,40914,Europe
Netherlands,41319,232,5204,36,-1,35865,628,2411,304,243277,14198,Europe
Saudi Arabia,31938,1687,209,9,6783,24946,143,917,6,389659,11193,Asia
Ecuador,31881,-1,1569,-1,3433,26879,159,1807,89,80171,4544,South America
Switzerland,30060,51,1795,-1,25400,2865,121,3473,207,290365,33550,Europe
Portugal,26182,480,1089,15,2076,23017,136,2568,107,470234,46116,Europe
Mexico,26025,1120,2507,236,16810,6708,378,202,19,100041,776,North America
Sweden,23918,702,2941,87,4074,16903,425,2368,291,148500,14704,Europe
Chile,23048,1032,281,6,11189,11578,470,1206,15,232108,12142,South America
Pakistan,22550,501,526,12,6217,15807,111,102,2,232582,1053,Asia
Ireland,22248,265,1375,36,13386,7487,93,4506,278,214761,43493,Europe
Singapore,20198,788,20,2,1634,18544,23,3452,3,175604,30016,Asia
Belarus,19255,905,112,5,4388,14755,92,2038,12,220045,23287,Europe
Qatar,17972,830,12,-1,2070,15890,72,6238,4,112963,39209,Asia
Israel,16314,25,238,-1,10527,5549,90,1885,27,423125,48885,Asia
Austria,15684,34,608,2,13639,1437,97,1741,68,292254,32450,Europe
Japan,15253,-1,556,-1,4496,10201,308,121,4,186343,1473,Asia
UAE,15192,-1,146,-1,3153,11893,1,1536,15,1200000,121330,Asia
Poland,14740,309,733,17,4655,9352,160,389,19,410468,10846,Europe
Romania,14107,270,858,17,5788,7461,244,733,45,217139,11287,Europe
Ukraine,13184,487,327,11,2097,10760,169,301,7,144283,3299,Europe
Indonesia,12438,367,895,23,2317,9226,-1,45,3,121547,444,Asia
Bangladesh,11719,790,186,3,1403,10130,1,71,1,99646,605,Asia
S. Korea,10806,2,255,1,9333,1218,55,211,5,643095,12543,Asia
Philippines,10004,320,658,21,1506,7840,31,91,6,140134,1279,Asia
Denmark,9938,117,506,3,7493,1939,46,1716,87,270680,46732,Europe
Serbia,9791,114,203,3,1971,7617,48,1121,23,117474,13445,Europe
Dominican Republic,8807,327,362,8,1905,6540,144,812,33,33377,3077,North America
Colombia,8613,-1,378,-1,2013,6222,128,169,7,127105,2498,South America
Norway,7976,21,216,1,32,7728,27,1471,40,189657,34984,Europe
Czechia,7933,37,262,5,4202,3469,59,741,24,278519,26008,Europe
Egypt,7588,387,469,17,1815,5304,-1,74,5,90000,879,Africa
South Africa,7572,-1,148,-1,2746,4678,36,128,2,268064,4520,Africa
Panama,7523,136,210,7,823,6490,88,1744,49,36483,8455,North America
Australia,6875,26,97,1,5984,794,27,270,4,688656,27006,Australia/Oceania
Malaysia,6428,45,107,1,4702,1619,22,199,3,222150,6864,Asia
Kuwait,6289,485,42,2,2219,4028,88,1473,10,196397,45988,Asia
Finland,5573,161,252,6,3500,1821,44,1006,45,108200,19528,Europe
Morocco,5408,189,183,2,2017,3208,1,147,5,52958,1435,Africa
Argentina,5020,-1,264,-1,1524,3232,148,111,6,72315,1600,South America
Algeria,4997,159,476,6,2197,2324,22,114,11,6500,148,Africa
Moldova,4476,113,143,7,1658,2675,237,1110,35,20447,5069,Europe
Kazakhstan,4344,139,30,1,1408,2906,31,231,2,336480,17920,Asia
Luxembourg,3851,11,98,2,3452,301,20,6152,157,50533,80726,Europe
Bahrain,3842,122,8,-1,1860,1974,4,2258,5,158365,93070,Asia
Afghanistan,3392,168,104,9,458,2830,7,87,3,13777,354,Asia
Hungary,3111,46,373,10,759,1979,50,322,39,86743,8979,Europe
Thailand,2989,1,55,1,2761,173,61,43,0.8,227860,3264,Asia
Nigeria,2950,-1,98,-1,481,2371,4,14,0.5,21208,103,Africa
Oman,2903,168,13,-1,888,2002,17,568,3,40459,7923,Asia
Armenia,2782,163,40,-1,1135,1607,10,939,13,26929,9088,Asia
Ghana,2719,-1,18,-1,294,2407,4,88,0.6,129461,4166,Africa
Greece,2663,21,147,1,1374,1142,36,255,14,87052,8352,Europe
Iraq,2480,49,102,-1,1602,776,-1,62,3,117726,2927,Asia
Cameroon,2265,161,64,-1,1000,1201,12,85,2,-1,-1,Africa
